Strain (in/in)	Stress (psi)
0.001240384	1015.69442
0.001243524	1024.226082
0.001270216	1006.309591
0.001290628	1028.918497
0.001307899	994.7918467
0.001332236	1077.548973
0.001359713	1005.029842
0.001379339	1059.205899
0.00139661	1026.358998
0.001412311	1025.079248
0.001435863	1072.003392
0.001472761	1006.736174
0.001479041	1038.729908
0.001515939	1047.261571
0.001563042	1080.961638
0.001582669	1053.660318
0.001599155	1072.429975
0.001632912	1037.450159
0.0016808	1090.346467
0.001687081	1054.940067
0.001714558	1066.031228
0.001734185	1063.898313
0.001795419	1049.82107
0.001800129	1065.178062
0.001822111	1071.576809
0.001837027	1049.82107
0.001859794	1069.01731
0.001893551	1114.661705
0.001903757	1063.898313
0.001934374	1099.304712
0.001954785	1045.128655
0.001990898	1139.403526
0.00201288	1101.011045
0.002032506	1079.681888
0.002043497	1086.080635
0.002111797	1066.884395
0.002141628	1140.256692
0.002175386	1076.269223
0.002192657	1092.052799
0.002221704	1094.185715
0.002264098	1154.760518
0.002276658	1099.731295
0.00229707	1115.941454
0.002315911	1101.864211
0.002358304	1113.381955
0.002384211	1140.256692
0.002383426	1086.933801
0.002396772	1138.976943
0.002424249	1074.562891
0.002468212	1172.250426
0.002490979	1120.633868
0.00250982	1106.556625
0.002522381	1116.79462
0.002596176	1140.683275
0.002626008	1159.879516
0.002633859	1105.703459
0.00265584	1139.403526
0.00271629	1123.193367
0.002747692	1174.383342
0.002763393	1126.179449
0.002778309	1138.123777
0.002800291	1114.235122
0.0028733	1182.061838
0.002897637	1173.530176
0.002918834	1143.242774
0.002942386	1170.970677
0.003007545	1120.633868
0.003078986	1217.041654
0.003160631	1152.627603
0.003223436	1175.663092
0.003289381	1236.664478
0.003291735	1155.613685
0.003298801	1145.37569
0.003311362	1153.480769
0.003362391	1165.85168
0.003389868	1191.020084
0.003393008	1164.998513
0.003412634	1138.55036
0.003458952	1156.893434
0.003514692	1169.264345
0.003537458	1160.732682
0.003546094	1157.7466
0.00356729	1171.39726
0.003602618	1189.740335
0.003652076	1221.307486
0.003662282	1179.928923
0.003670132	1162.012432
0.003679553	1165.85168
0.003716451	1193.152999
0.003747853	1220.880903
0.003752563	1170.544094
0.003765909	1169.264345
0.003803592	1170.970677
0.003841275	1216.615071
0.003856976	1214.055573
0.003864041	1174.809925
0.003886808	1213.202407
0.003917425	1202.111245
0.003956678	1268.23163
0.003975519	1200.404913
0.003988865	1189.313752
0.004010062	1227.706233
0.004080717	1225.573317
0.004091707	1250.741721
0.004112904	1215.761905
0.004128605	1225.9999
0.004163148	1238.370811
0.004181989	1284.015205
0.0041867	1217.468238
0.004196905	1217.041654
0.004214961	1231.972064
0.004247934	1250.741721
0.00426285	1273.77721
0.0042707	1228.132816
0.004288757	1245.622724
0.00434371	1273.77721
0.004386889	1308.757026
0.00440416	1268.23163
0.004427711	1257.567051
0.004462254	1284.015205
0.004503077	1336.484929
0.004521133	1278.896208
0.004532124	1273.350627
0.004559601	1286.574704
0.004593358	1289.134203
0.004635751	1318.568438
0.004651452	1277.189875
0.004653022	1276.336709
0.004689135	1306.197528
0.004742519	1282.308873
0.004788052	1330.086183
0.004789622	1269.511379
0.00482338	1271.217712
0.004882259	1289.560786
0.004937998	1296.386116
0.00496469	1326.246934
0.004978821	1282.735456
0.004992167	1285.721538
0.00503299	1306.624111
0.005084803	1303.638029
0.005099719	1328.37985
0.005102075	1272.497461
0.005125626	1280.60254
0.005155458	1315.155773
0.005198636	1298.945614
0.005209627	1314.302607
0.005218263	1287.42787
0.0052583	1288.707619
0.005284993	1326.673518
0.005303834	1325.393768
0.005321105	1313.449441
0.005347012	1296.386116
0.005359573	1329.6596
0.005394115	1343.31026
0.005414527	1336.484929
0.005431798	1317.715272
0.005460845	1312.596274
0.005489892	1332.219098
0.005508733	1366.345748
0.005530715	1343.736843
0.005550342	1320.274771
0.005584884	1354.401421
0.005631202	1351.415339
0.005641408	1388.528071
0.005650829	1345.869758
0.005679091	1321.981103
0.005723054	1379.143242
0.005768587	1365.492582
0.005792924	1407.724311
0.005810195	1351.415339
0.005847878	1351.841922
0.005881635	1397.912899
0.005905187	1401.325565
0.005927168	1385.541989
0.005942085	1370.611579
0.005970346	1399.619232
0.006006459	1414.123058
0.006044142	1394.500234
0.006052777	1400.898981
0.006070049	1382.129324
0.006116367	1406.871145
0.006142274	1411.990143
0.006171321	1420.521805
0.006184667	1388.101488
0.006226275	1375.730577
0.006254537	1413.269892
0.006281229	1415.829391
0.0062985	1420.948388
0.006318911	1386.395155
0.006344033	1447.396542
0.006367585	1425.214219
0.006383286	1429.053467
0.006397417	1428.200301
0.006421754	1400.898981
0.00643981	1450.382624
0.006483773	1442.277544
0.006494764	1440.571212
0.006510465	1432.892716
0.006545007	1487.068772
0.006568559	1459.340869
0.006591326	1491.761187
0.006630579	1429.053467
0.00665099	1440.997795
0.006667476	1483.229524
0.006697308	1475.977611
0.00671458	1485.789023
0.006726355	1438.864879
0.006745982	1503.278931
0.006756973	1485.36244
0.006783665	1481.523192
0.006805646	1510.957427
0.006827627	1453.368706
0.006846469	1522.048589
0.006897498	1504.132097
0.006922619	1503.705514
0.006948526	1490.054854
0.00700191	1508.397929
0.007040378	1535.699249
0.00706864	1508.397929
0.00707963	1528.873919
0.007097687	1493.894102
0.00714008	1555.748656
0.007154211	1520.342256
0.007167557	1554.895489
0.007180903	1503.278931
0.007237427	1517.782757
0.007260194	1559.16132
0.007285315	1520.342256
0.007295521	1535.699249
0.007327708	1514.370092
0.007355185	1574.518313
0.007374811	1534.846082
0.007391298	1574.09173
0.00741799	1518.209341
0.007461953	1579.210727
0.007488645	1583.903142
0.007526327	1570.252482
0.007530253	1577.504395
0.007548309	1538.685331
0.007584421	1631.253868
0.007602478	1561.720819
0.007619749	1603.099382
0.007625244	1571.958814
0.007651151	1565.986651
0.007673133	1632.533618
0.007682554	1576.651229
0.007699825	1601.39305
0.007715526	1572.81198
0.007753208	1608.21838
0.00777362	1626.561454
0.007804237	1576.651229
0.007810518	1620.162707
0.007831714	1587.74239
0.007875677	1654.289357
0.00790708	1611.631045
0.007931416	1648.317194
0.007943977	1614.190544
0.007996576	1637.652616
0.008013062	1639.358948
0.008043679	1638.505782
0.00806252	1639.785531
0.008097848	1622.722206
0.008152802	1712.304662
0.008171643	1636.799449
0.008206971	1668.3666
0.008225812	1644.051362
0.008288617	1640.638697
0.008308243	1656.848856
0.008356131	1661.541271
0.008375758	1646.610861
0.008433067	1653.436191
0.008473105	1713.584412
0.008489591	1636.372866
0.008526489	1694.388171
0.008553181	1635.5197
0.008655238	1674.765347
0.00868507	1702.49325
0.008719612	1662.394437
0.008736884	1705.905915
0.00875808	1648.743777
0.008796548	1687.136258
0.00881539	1697.374253
0.008832661	1648.317194
0.008847577	1696.94767
0.008860922	1650.450109
0.008871913	1677.751429
0.008886044	1692.681838
0.008898605	1659.408355
0.008923727	1687.562841
0.00896298	1676.045097
0.008990457	1699.080585
0.009021859	1693.535005
0.009057187	1665.380518
0.009065037	1684.576759
0.009097224	1715.717327
0.009140402	1746.431312
0.009160029	1713.584412
0.009206347	1729.367987
0.009229114	1719.556575
0.009277787	1735.340151
0.009293489	1735.340151
0.009311545	1722.542657
0.009339806	1740.885732
0.009389265	1733.633819
0.009407321	1777.145297
0.009415957	1731.500903
0.009426948	1740.459148
0.009442649	1738.752816
0.009491322	1752.830059
0.009499958	1792.075707
0.009510949	1737.89965
0.009567473	1743.871814
0.009608296	1764.347803
0.009656969	1764.347803
0.00966796	1761.361721
0.009707213	1764.774387
0.009695437	1770.319967
0.009744896	1776.718714
0.009768447	1793.782039
0.009764522	1766.480719
0.009774728	1775.438965
0.009797495	1758.802223
0.009817906	1797.194704
0.009839102	1795.061788
0.009841457	1776.718714
0.009866579	1786.103543
0.00988385	1776.718714
0.009910542	1808.712448
0.009958431	1809.139031
0.009978057	1777.998463
0.01001574	1827.055523
0.010050283	1801.460535
0.010083255	1846.251763
0.010091105	1822.363108
0.010103666	1811.271947
0.010125648	1824.496024
0.010164115	1822.789692
0.010182957	1851.797344
0.010186097	1814.258029
0.010193163	1793.782039
0.010221424	1834.307436
0.010259107	1846.251763
0.010276379	1830.041605
0.010314061	1828.335272
0.010327407	1842.839098
0.01036823	1862.035339
0.010393352	1903.413902
0.010409838	1839.426433
0.010460082	1890.616408
0.010500904	1878.672081
0.010562924	1892.322741
0.010595111	1931.568388
0.010627299	1853.93026
0.01064457	1898.294905
0.010675187	1903.413902
0.010713655	1897.868322
0.010724645	1894.88224
0.010744272	1873.979667
0.010771749	1894.029073
0.010798441	1921.756977
0.010818852	1892.749324
0.010825132	1878.672081
0.010841619	1871.420168
0.010870666	1893.175907
0.010900498	1936.687386
0.01092248	1905.546818
0.010935825	1911.092398
0.010962517	1919.197478
0.01099706	1918.770895
0.011059079	1952.044378
0.01107792	1930.715222
0.011089697	1922.18356
0.011117174	1951.617795
0.011147005	1934.55447
0.011169772	1950.338046
0.011184688	1933.701304
0.011201959	1906.399984
0.011250633	1960.576041
0.011291456	1955.03046
0.011305587	1938.393718
0.011309512	1939.246884
0.011337774	1957.163376
0.011360541	1959.296292
0.011371531	1988.730527
0.011380167	1989.583693
0.011395083	1945.219048
0.01142413	1998.115356
0.011456317	2007.500185
0.011480654	1987.877361
0.01149871	1963.135539
0.011543459	1978.065949
0.011575646	1998.115356
0.011609403	2002.381187
0.01163217	2042.480001
0.011641591	1991.290026
0.011692619	2038.21417
0.011721667	2039.920502
0.011756209	2031.388839
0.011764845	2048.452164
0.011779761	1991.290026
0.011800172	2050.158497
0.011827649	2057.836993
0.0118512	2019.444512
0.011864547	2044.612916
0.011884173	1996.835606
0.01191322	2056.983827
0.011930492	2059.116743
0.011945407	2033.095172
0.011950903	2036.507837
0.011972885	2040.347085
0.012009782	2070.634487
0.012035689	2096.656058
0.012044324	2063.809157
0.012065521	2060.823075
0.012107129	2091.110477
0.012144026	2091.53706
0.01219427	2083.005398
0.012234308	2070.634487
0.012242159	2114.572549
0.012254719	2120.544713
0.012286122	2082.578814
0.012325375	2120.544713
0.012357562	2143.153618
0.012376403	2123.530794
0.012391319	2098.36239
0.012424292	2103.907971
0.012487881	2147.846033
0.012515358	2146.1397
0.012521638	2144.006784
0.012541265	2112.866216
0.012586798	2127.370042
0.012623696	2154.244779
0.012640967	2135.475122
0.012661379	2160.216943
0.012685715	2107.320636
0.012729678	2170.881521
0.012772071	2168.748606
0.012799548	2146.992866
0.01282781	2144.006784
0.012865493	2110.733301
0.012927512	2197.756258
0.012941643	2171.734688
0.012951849	2154.671362
0.012965195	2156.377695
0.012993457	2138.887787
0.013036635	2190.504345
0.013068037	2182.825849
0.013083739	2160.216943
0.013093159	2156.804278
0.013141833	2196.049926
0.013160674	2178.986601
0.013187366	2192.210677
0.013212488	2166.189107
0.013258806	2152.538447
0.013305124	2239.134821
0.013327106	2206.287921
0.013335742	2201.595506
0.013348302	2194.343593
0.013376565	2192.210677
0.013428378	2243.400653
0.013433874	2196.049926
0.013444079	2193.063844
0.013470771	2179.839767
0.013532005	2226.337327
0.013577539	2251.079149
0.013605016	2212.686667
0.013619932	2240.414571
0.013641128	2203.728422
0.013714923	2275.82097
0.013757316	2272.408305
0.013762812	2219.938581
0.013769093	2231.456325
0.013780868	2202.448672
0.013824046	2265.582975
0.013840532	2260.037394
0.013853094	2221.21833
0.013864084	2239.561404
0.013915113	2221.644913
0.013956721	2270.275389
0.013963001	2261.317144
0.013988123	2268.99564
0.014026591	2230.176576
0.014060348	2303.548873
0.014087825	2312.933702
0.014108237	2289.898213
0.014123938	2280.939967
0.01416162	2239.561404
0.014206369	2346.207185
0.01422207	2310.374203
0.014232276	2276.247553
0.014249547	2271.128555
0.014292725	2297.150126
0.014325697	2326.584362
0.014335903	2304.828622
0.014346108	2295.443794
0.01436652	2277.527302
0.014396352	2377.774337
0.014405773	2318.479282
0.014412838	2317.626116
0.014412838	2315.066617
0.014451306	2294.590627
0.014484279	2393.557912
0.014499195	2326.157779
0.014511755	2323.59828
0.014515681	2298.856459
0.01456828	2364.55026
0.014595756	2392.704746
0.014610673	2336.395774
0.014633439	2401.662992
0.014656205	2328.290694
0.014693103	2434.083309
0.014711945	2388.865498
0.014724505	2356.018597
0.014733926	2372.228756
0.014770039	2361.990761
0.014794376	2443.468138
0.014806151	2387.585748
0.014819498	2362.843927
0.014835199	2378.627503
0.014886227	2463.944128
0.014910564	2418.726317
0.014957667	2400.383242
0.014967088	2415.740235
0.015022042	2393.131329
0.015066005	2491.245448
0.0150715	2409.768071
0.015092697	2439.62889
0.015102117	2385.452833
0.0151398	2446.880803
0.015186903	2480.58087
0.015192399	2405.928823
0.01521281	2415.740235
0.015224586	2386.305999
0.01528425	2465.223877
0.015304662	2448.160552
0.015314083	2402.089575
0.015342345	2442.188389
0.015374532	2410.621237
0.015405934	2505.322691
0.015409859	2452.426384
0.015434196	2417.446567
0.015442047	2425.97823
0.015482085	2461.811212
0.015526048	2489.112532
0.015539394	2457.971964
0.015544889	2440.055473
0.015583357	2436.642808
0.015640666	2517.693601
0.015655582	2479.727704
0.015661862	2470.769458
0.015673638	2490.818865
0.015744293	2471.196041
0.015788256	2579.121571
0.015801602	2490.392282
0.015821229	2491.672031
0.015829864	2478.874537
0.015895809	2511.721438
0.015937417	2572.296242
0.015936632	2484.846701
0.015960969	2513.001187
0.015987661	2495.084696
0.016018278	2517.267018
0.016039474	2569.31016
0.016055176	2512.574604
0.016062241	2520.679683
0.016140747	2507.455606
0.016180785	2576.13549
0.016184709	2516.840435
0.016203551	2545.421505
0.016264786	2515.560686
0.016318954	2612.821638
0.016336225	2575.708907
0.016351926	2541.155673
0.016380974	2585.520318
0.016414731	2566.750661
0.01647832	2643.10904
0.016501872	2569.736743
0.016509723	2545.421505
0.016524639	2558.645582
0.016568602	2553.100001
0.016597649	2643.10904
0.016621201	2583.813986
0.016631406	2533.90376
0.016649463	2565.470911
0.016704417	2577.841822
0.016716193	2631.164713
0.016713837	2592.345648
0.016731108	2553.526584
0.016762511	2591.065899
0.016808829	2663.58503
0.016819035	2611.541889
0.016838661	2597.891229
0.016852792	2625.192549
0.016904606	2628.605214
0.016929728	2699.418013
0.016939933	2629.884963
0.016954065	2621.353301
0.016975261	2623.9128
0.017060047	2645.241956
0.01709459	2696.858514
0.017096945	2612.821638
0.0170993	2629.884963
0.017146403	2616.660886
0.017199787	2715.201588
0.017206853	2681.074938
0.017209993	2624.339383
0.017235114	2699.844596
0.017279078	2672.969859
0.017308125	2730.558581
0.017322256	2694.299015
0.01731676	2655.479951
0.017337172	2688.753435
0.01738506	2703.683844
0.017410967	2724.159834
0.017425098	2699.844596
0.017437659	2652.920452
0.017465921	2700.697762
0.017519305	2720.747169
0.017541287	2710.509174
0.017546782	2706.243343
0.017563268	2722.453501
0.017607231	2731.411747
0.017640203	2797.958715
0.01765983	2740.796576
0.017684167	2732.264913
0.017721064	2731.411747
0.01780742	2774.496644
0.017845103	2803.077711
0.017851384	2729.705415
0.017876505	2750.181405
0.017904767	2751.034571
0.017932244	2791.98655
0.017966787	2806.490378
0.017966787	2750.181405
0.017980133	2745.062407
0.018023311	2778.762474
0.01808219	2801.371379
0.018081405	2792.413133
0.018108882	2748.901655
0.018140284	2779.61564
0.018166976	2790.280218
0.018215649	2830.379032
0.018250977	2806.490378
